ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_cedar_s_05, -419.6813, -1890.089, 25.1552, 0, 0, -0.3826829, 0.9238797, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -426.7586, -1909.282, 27.65495, 0, 0, 0.8059041, -0.5920461, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -415.9495, -1892.334, 27.65495, 0, 0, 0.7175112, -0.6965472, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -193.3845, -1917.249, 27.65495, 0, 0, 0, 1, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -196.7855, -1906.005, 27.65471, 0, 0, 0, 1, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -425.5163, -1990.118, 27.65495, 0, 0, 0.9875045, -0.1575911, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -433.0278, -1971.473, 27.65495, 0, 0, 0.9567353, -0.2909601, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -435.5663, -1949.995, 27.65495, 0, 0, 0.9229141, -0.385006, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -399.592, -2020.718, 27.65495, 0, 0, 0.9999891, 0.004688, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -414.0658, -2006.86, 27.65495, 0, 0, 0.9972455, -0.07417203, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -312.6531, -2075.617, 27.65495, 0, 0, 0.9580761, 0.286514, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -351.4169, -2061.154, 27.65495, 0, 0, 0.9977944, 0.06638003, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -333.445, -2070.16, 27.65495, 0, 0, 0.9793836, 0.2020089, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -367.6445, -2047.488, 27.65495, 0, 0, 0.9999891, 0.004688, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -383.5016, -2033.946, 27.65495, 0, 0, 0.9998294, 0.01847601, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -292.5535, -2075.942, 27.65495, 0, 0, 0.9099779, 0.4146569, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -257.2897, -2064.718, 27.65495, 0, 0, 0.823989, 0.566606, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -218.0468, -2017.594, 27.65495, 0, 0, 0.552848, 0.8332821, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -213.5037, -1980.777, 27.65495, 0, 0, 0.3633821, 0.9316401, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -223.5049, -1945.594, 27.65495, 0, 0, 0.9950011, 0.09986401, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_critical_0.ymap
prop_tree_cedar_s_05, -384.2733, 6185.567, 30.4109, 0, 0, 0.3007059, 0.9537169, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_0.ymap
prop_tree_cedar_s_05, -377.9674, 6178.986, 30.50778, 0, 0, 0.4130791, 0.9106951, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_0.ymap
prop_tree_cedar_s_05, -377.6226, 6178.863, 30.51621, -0.06956598, -0.008908998, -0.5613729, 0.8245858, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_1.ymap
prop_tree_cedar_s_05, -380.7775, 6182.028, 30.36652, 0, 0, 0.608762, 0.7933529, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_1.ymap
prop_tree_cedar_s_05, -48.48114, -578.8654, 36.812, -0.014841, 0.014841, -0.706951, 0.706951, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -52.86554, -590.3707, 36.07983, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -243.5499, -781.288, 33.19209, 0, 0, 0.6087614, 0.7933534, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -238.0295, -769.0792, 33.19209, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -296.4189, -934.1947, 30.91443, 0, 0, 0.9316781, 0.363285, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -254.4818, -926.9847, 30.14781, 0, 0, -0.3419361, 0.9397232, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -257.7082, -925.7444, 30.14781, 0, 0, 0.9914449, -0.130526, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -266.9167, -922.4531, 30.14781, 0, 0, 0.9914449, -0.130526, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -245.241, -930.1686, 30.14781, 0, 0, 0.9848161, 0.173601, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -300.9437, -947.0768, 30.97278, 0, 0, 0.453357, 0.8913291, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -299.9215, -943.9833, 30.85233, 0, 0, 0.9375272, 0.3479121, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -297.6118, -937.5619, 30.92025, 0, 0, 0.9426699, 0.333727, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -245.9084, -894.5272, 30.57603, 0, 0, 0.9712006, 0.2382629, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -261.9597, -888.5245, 30.57603, 0, 0, -0.6427881, 0.7660441, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -253.6329, -891.6228, 30.62376, 0, 0, 0.9882386, 0.1529199, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -230.6913, -925.3219, 30.32224, 0, 0, -0.5000003, 0.8660253, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -234.4207, -906.8204, 30.14781, 0, 0, 0.9897775, 0.1426199, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -256.0844, -898.5946, 30.14781, 0, 0, 0.9914449, -0.130526, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -265.0172, -895.7014, 29.88519, 0, 0, 0.7372773, 0.6755903, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -270.7183, -910.7042, 29.88519, 0, 0, 0.7372773, 0.6755903, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -225.5704, -910.1425, 30.14781, 0, 0, 0.8345112, 0.5509911, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -307.3409, -964.8737, 30.60481, 0, 0, -0.37469, 0.9271501, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -308.2499, -967.5858, 30.60481, 0, 0, -0.316448, 0.9486099, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -304.8681, -957.568, 30.91473, 0, 0, 0.9711926, 0.2382962, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -303.6597, -954.3473, 30.92651, 0, 0, 0.9659259, 0.258819, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_cedar_s_05, 296.8595, 207.4487, 103.6218, 0.010874, 0.018444, -0.4986551, 0.866536, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_tree_cedar_s_05, 307.9843, 203.3898, 103.6218, -0.019732, -0.018402, -0.00197, 0.999634, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_tree_cedar_s_05, -677.5881, 88.59754, 54.36976, 0, 0, 0.7575648, 0.6527599, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -670.8708, 73.02584, 49.23487, 0, 0, -0.4344451, 0.9006983, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -667.7204, 67.6953, 46.10149, 0, 0, 0.258819, 0.9659258, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -684.5312, 50.10604, 41.83409, 0, 0, 0.258819, 0.9659258, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -668.2663, 38.00562, 37.93468, 0, 0, 0.9238797, 0.3826829, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -668.8787, 35.0396, 38.8728, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -687.6642, 77.99979, 54.82775, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -715.8483, 41.48098, 41.07281, 0, 0, 0.9990482, -0.04362002, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -698.4067, 72.80426, 55.64178, 0, 0, -0.5983248, 0.8012537, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -715.8033, 82.15231, 55.23862, 0, 0, -0.6755903, 0.7372773, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -713.0134, 83.56075, 54.8411, 0, 0, 0.9762959, -0.21644, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -708.9641, 85.41393, 53.95887, 0, 0, 0.6427881, 0.7660441, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -705.4213, 86.96557, 54.43261, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -527.2456, 225.935, 81.59064, 0, 0, 0.9608486, 0.2770739, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -507.5223, 223.9998, 82.28769, 0, 0, 0.7363968, 0.6765498, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -509.9163, 227.807, 82.30548, 0, 0, 0.7363968, 0.6765498, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -513.4639, 227.4781, 82.30548, 0, 0, -0.6563557, 0.7544516, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -512.3589, 229.8149, 82.28769, 0, 0, -0.6563557, 0.7544516, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -515.7879, 232.1003, 82.17548, 0, 0, 0.9608486, 0.2770739, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -526.4669, 230.335, 82.17548, 0, 0, 0.9608486, 0.2770739, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -524.28, 232.4971, 82.28769, 0, 0, -0.6563557, 0.7544516, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -519.9724, 232.8052, 82.30548, 0, 0, -0.6563557, 0.7544516, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -528.9664, 174.4254, 67.69585, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -528.8951, 161.8916, 63.98481, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -528.3021, 169.582, 66.31049, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -529.4132, 165.8513, 65.23342, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -491.728, 151.2667, 64.02005, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -491.747, 148.7975, 63.77063, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -491.6534, 146.2088, 63.3003, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -704.3279, 131.6641, 55.08756, 0, 0, -0.5299191, 0.8480482, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -709.5192, 129.1055, 54.91668, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -699.1365, 134.2227, 55.06553, 0, 0, 0.5446388, 0.8386707, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -732.806, 248.9475, 77.16283, 0, 0, 0.8195812, 0.5729631, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -734.8904, 247.9947, 77.16283, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -428.827, 218.7156, 82.01805, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -428.6582, 221.8889, 82.38658, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -428.684, 223.9268, 82.41659, 0, 0, 0.9067731, -0.421619, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_0.ymap
prop_tree_cedar_s_05, -266.8457, 40.2104, 55.79687, 0, 0, 0.8433912, 0.5373001, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -264.1987, 29.50237, 53.4519, 0, 0, 0.8433912, 0.5373001, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -266.3835, 21.18298, 52.50512, 0, 0, 0.21644, 0.9762959, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -328.3394, 21.70627, 47.87345, 0, 0, 0.7933535, -0.6087614, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -333.9232, 5.306286, 46.84626, 0, 0, 0.9659259, -0.258819, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -323.0458, -0.822239, 47.19565, 0, 0, 0.9659259, -0.258819, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -309.0286, -5.801144, 47.52826, 0, 0, 0.8433912, 0.5373001, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -360.6519, 150.6215, 86.58369, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -356.5317, 173.7419, 85.96384, 0, 0, -0.3007059, 0.9537169, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -351.7445, 173.7419, 85.69292, 0, 0, 0.7071068, 0.7071068, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -361.4741, 173.742, 86.1235, 0, 0, -0.08715597, 0.9961947, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -409.0392, 213.4101, 81.5118, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -408.7963, 209.6122, 81.75493, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -330.4755, 173.742, 85.69292, 0, 0, 0.7071068, 0.7071068, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -326.1608, 173.7419, 85.69292, 0, 0, 0.7071068, 0.7071068, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -283.1802, 200.5079, 88.90273, 0, 0, 0.04361901, 0.9990482, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -283.5402, 208.0468, 88.90273, 0, 0, 0.04361901, 0.9990482, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -283.1012, 196.2156, 88.17989, 0, 0, 0.04361901, 0.9990482, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -283.0449, 191.6664, 88.90273, 0, 0, 0.04361901, 0.9990482, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -126.2603, 302.6062, 100.6297, 0, 0, -0.6427881, 0.7660441, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -65.49509, 337.1136, 110.6692, 0, 0, -0.5409741, 0.8410392, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_cedar_s_05, -67.51154, 333.5793, 109.1482, 0, 0, 0, 1, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
